customerID,Gender,SeniorCitizen,Partner,Dependents,Day,Year,Month,Age
3973-SKMLN,Male,No,No,No,4,2012,5,13
2321-OMBXY,Female,No,Yes,Yes,27,1985,9,39
2840-XANRC,Male,No,Yes,No,20,2003,5,22
6745-JEFZB,Male,No,Yes,No,18,1984,11,40
5020-ZSTTY,Female,No,No,No,2,2002,4,23
9880-TDQAC,Female,No,Yes,Yes,4,1999,11,25
8705-WZCYL,Male,No,No,No,27,1989,12,35
7102-JJVTX,Female,No,Yes,Yes,18,1981,12,43
8626-PTQGE,Male,No,No,No,24,2005,6,20
4983-CLMLV,Female,No,Yes,No,14,1984,5,41
5701-YVSVF,Female,No,Yes,No,8,1993,5,32
5804-LEPIM,Female,No,No,No,23,2005,6,20
5697-GOMBF,Female,No,Yes,Yes,4,1992,1,33
2739-CACDQ,Female,No,No,No,27,2007,2,18
9385-EHGDO,Female,No,Yes,Yes,16,1996,12,28
9498-FIMXL,Female,No,No,No,7,2002,7,23
2379-GYFLQ,Male,No,No,No,15,1995,3,30
0122-OAHPZ,Female,No,No,No,11,1992,9,32
2868-SNELZ,Female,No,No,No,3,2011,9,13
4322-RCYMT,Male,No,Yes,Yes,25,1991,5,34
6680-NENYN,Female,No,No,No,28,1984,10,40
2088-IEBAU,Female,No,No,No,11,1985,9,39
7982-VCELR,Female,No,No,No,25,2003,7,22
1343-EHPYB,Male,No,Yes,No,19,2005,2,20
6035-BXTTY,Female,No,No,No,1,2002,1,23
6885-PKOAM,Female,No,Yes,No,9,1991,10,33
7520-HQWJU,Female,No,Yes,Yes,2,1981,2,44
9639-BUJXT,Male,No,No,No,6,1992,3,33
5924-SNGKP,Female,No,No,Yes,15,2007,8,17
0021-IKXGC,Female,No,No,No,9,1995,6,30
2034-GDRCN,Female,No,No,No,2,1996,1,29
8966-SNIZF,Female,No,Yes,No,4,2002,6,23
6243-OZGFH,Female,No,No,No,10,1996,2,29
4654-DLAMQ,Female,No,Yes,No,21,2002,7,23
0513-RBGPE,Male,No,Yes,Yes,11,1993,5,32
5160-UXJED,Male,No,No,Yes,19,2007,3,18
4115-NZRKS,Female,No,No,No,27,1986,8,38
0219-YTZUE,Male,No,Yes,Yes,30,1998,7,26
0623-IIHUG,Female,No,No,No,6,2001,7,24
4572-DVCGN,Female,No,No,No,23,2000,10,24
3351-NGXYI,Female,No,No,No,24,2011,12,13
8984-EYLLL,Male,No,Yes,No,23,1994,1,31
9057-MSWCO,Male,No,Yes,No,22,1986,1,39
9833-TGFHX,Male,No,Yes,Yes,19,2002,8,22
9294-TDIPC,Male,No,No,Yes,23,2008,3,17
5229-DTFYB,Female,No,No,No,7,1985,8,39
0104-PPXDV,Male,No,Yes,No,16,1983,6,42
5176-LMJXE,Female,No,No,No,29,1990,7,34
3583-KRKMD,Male,No,No,No,25,1983,5,42
1010-DIAUQ,Male,No,No,No,21,1980,5,45
9069-LGEUL,Male,No,Yes,No,26,1999,10,25
7302-ZHMHP,Female,No,No,No,2,2008,12,16
9571-EDEBV,Male,No,Yes,No,21,1987,7,38
3520-FJGCV,Male,No,Yes,Yes,16,1984,6,41
6563-VRERX,Male,No,Yes,Yes,4,1982,11,42
0259-GBZSH,Male,No,No,No,18,2002,9,22
6122-EFVKN,Male,No,No,Yes,28,2005,9,19
2805-EDJPQ,Female,No,Yes,Yes,14,2012,10,12
6862-CQUMB,Male,No,No,No,26,1999,2,26
7156-MXBJE,Female,No,No,No,27,1997,4,28
6158-HDPXZ,Male,No,No,No,30,1994,3,31
9601-BRXPO,Female,No,Yes,No,2,1990,10,34
2863-IMQDR,Female,No,No,No,22,1990,12,34
5686-CMAWK,Male,No,No,No,23,1994,10,30
5651-CRHKQ,Female,No,Yes,No,9,2007,2,18
6905-NIQIN,Male,No,No,No,1,2011,8,13
8204-YJCLA,Male,No,Yes,Yes,28,1999,9,25
5167-ZFFMM,Male,No,No,No,22,2009,9,15
6583-SZVGP,Male,No,No,No,19,1999,12,25
4895-TMWIR,Male,No,Yes,No,23,1981,11,43
0533-BNWKF,Female,No,Yes,No,15,1994,4,31
1708-PBBOA,Female,No,No,No,4,1982,11,42
8782-LKFPK,Male,No,No,No,14,1992,1,33
5522-JBWMO,Male,No,No,Yes,3,2009,11,15
3597-MVHJT,Female,No,No,No,2,2007,4,18
9774-NRNAU,Male,No,Yes,No,10,2011,12,13
0224-RLWWD,Female,No,No,No,22,2002,11,22
9967-ATRFS,Female,No,No,No,22,1996,9,28
3951-NJCVI,Female,No,Yes,No,7,1994,6,31
2977-CEBSX,Female,No,No,No,25,1989,12,35
0177-PXBAT,Male,No,Yes,No,15,2008,1,17
6599-CEBNN,Female,No,No,No,9,1993,4,32
2519-ERQOJ,Male,No,No,No,2,2000,9,24
5876-QMYLD,Female,No,Yes,Yes,26,1984,10,40
2277-AXSDC,Female,No,No,No,7,1983,5,42
9442-JTWDL,Female,No,No,No,24,2005,10,19
0979-PHULV,Male,No,Yes,Yes,19,1998,2,27
3067-SVMTC,Female,No,Yes,No,23,1985,9,39
5495-GPSRW,Male,No,No,No,27,1996,2,29
7606-BPHHN,Male,No,No,No,10,1980,10,44
4742-DRORA,Male,No,Yes,Yes,1,1980,4,45
0111-KLBQG,Male,No,Yes,Yes,23,1987,6,38
4800-VHZKI,Female,No,No,No,28,2002,10,22
7989-CHGTL,Male,No,No,No,18,1984,3,41
0334-GDDSO,Male,No,No,No,22,1986,4,39
4163-NCJAK,Female,No,Yes,No,5,2000,4,25
5233-AOZUF,Female,No,Yes,No,22,1986,4,39
5973-EJGDP,Male,No,No,No,8,1985,1,40
1996-DBMUS,Female,No,Yes,No,22,1983,7,42
7916-VCCPB,Female,No,Yes,Yes,3,1983,9,41
4686-GEFRM,Male,No,Yes,No,4,1997,5,28
5249-QYHEX,Female,No,Yes,Yes,3,1995,10,29
0578-SKVMF,Female,No,Yes,Yes,12,2012,12,12
5564-NEMQO,Female,No,No,No,6,1996,1,29
2233-FAGXV,Female,No,Yes,Yes,27,1982,2,43
5605-IYGFG,Female,No,No,No,13,1982,9,42
7663-ZTEGJ,Male,No,No,Yes,15,1996,7,29
3935-TBRZZ,Male,No,Yes,Yes,1,1991,8,33
8111-BKVDS,Female,No,No,No,7,1991,12,33
2055-SIFSS,Female,No,Yes,No,22,1988,11,36
2806-MLNTI,Male,No,Yes,No,18,1989,10,35
8734-DKSTZ,Female,No,Yes,Yes,12,2005,1,20
4360-PNRQB,Male,No,No,No,3,1983,7,42
6152-ONASV,Female,No,Yes,No,28,1986,7,38
9063-ZGTUY,Female,No,Yes,Yes,28,1980,11,44
7781-HVGMK,Female,No,Yes,Yes,11,1996,8,28
2181-UAESM,Male,No,No,No,15,1994,4,31
2957-LOLHO,Male,No,No,No,23,1996,12,28
6048-NJXHX,Male,No,Yes,No,14,2005,7,20
2320-SLKMB,Female,No,No,No,16,2007,7,18
4980-URKXC,Male,No,Yes,No,9,1995,2,30
4376-KFVRS,Male,No,Yes,Yes,6,2010,4,15
5886-VLQVU,Male,No,Yes,No,22,2012,10,12
3577-AMVUX,Male,No,No,No,19,1993,6,32
0771-WLCLA,Female,No,Yes,Yes,14,2004,11,20
5628-RKIFK,Female,No,No,No,24,1999,8,25
0206-TBWLC,Female,No,Yes,No,6,1997,12,27
2937-FTHUR,Female,No,No,Yes,8,1999,5,26
1910-FMXJM,Female,No,Yes,No,14,2001,4,24
7752-XUSCI,Female,No,No,No,23,2012,6,13
4110-PFEUZ,Female,No,No,No,11,1987,6,38
0732-OCQOC,Female,No,Yes,Yes,29,2001,12,23
5168-MSWXT,Male,No,Yes,Yes,19,1999,5,26
1090-ESELR,Male,No,Yes,Yes,29,1993,8,31
8592-PLTMQ,Female,No,No,No,15,1980,11,44
5760-WRAHC,Female,No,No,No,15,1980,7,45
8847-GEOOQ,Male,No,Yes,No,7,2010,9,14
0256-LTHVJ,Female,No,Yes,Yes,17,1991,7,34
4785-FCIFB,Female,No,Yes,No,3,1992,10,32
8313-NDOIA,Female,No,No,No,24,1999,3,26
5149-CUZUJ,Male,No,Yes,Yes,9,1982,2,43
0942-KOWSM,Female,No,Yes,Yes,21,1984,4,41
4237-CLSMM,Male,No,Yes,No,12,1987,4,38
1452-VOQCH,Male,No,No,No,20,2000,12,24
4719-UMSIY,Male,No,No,Yes,22,2011,7,14
6614-VBEGU,Female,No,Yes,No,5,1982,1,43
0880-TKATG,Male,No,Yes,Yes,3,2005,10,19
3811-VBYBZ,Male,No,No,No,8,2009,1,16
1480-BKXGA,Male,No,Yes,No,2,1991,5,34
2996-XAUVF,Male,No,No,No,6,1987,11,37
9076-AXYIK,Male,No,Yes,No,24,2002,4,23
5968-XQIVE,Male,No,Yes,Yes,15,1985,7,40
8896-RAZCR,Female,No,No,Yes,21,2002,4,23
4640-UHDOS,Female,No,Yes,Yes,27,1984,6,41
4933-IKULF,Female,No,No,No,2,1983,12,41
3583-EKAPL,Male,No,No,No,18,2000,6,25
1304-BCCFO,Male,No,Yes,No,16,2007,12,17
4104-PVRPS,Male,No,Yes,No,7,1981,12,43
9399-APLBT,Female,No,Yes,Yes,28,2005,12,19
2359-KMGLI,Male,No,No,No,2,2001,7,24
3780-DDGSE,Male,No,Yes,Yes,14,1981,11,43
4431-EDMIQ,Female,No,Yes,Yes,29,1988,5,37
0306-JAELE,Male,No,No,No,3,2006,8,18
6227-HWPWX,Female,No,No,Yes,6,2005,6,20
0486-LGCCH,Male,No,Yes,Yes,9,2005,8,19
0447-BEMNG,Female,No,Yes,No,26,1995,5,30
4612-SSVHJ,Female,No,No,No,7,1987,5,38
5168-MQQCA,Female,No,Yes,No,20,1980,10,44
5949-XIKAE,Female,No,Yes,Yes,19,1992,9,32
